No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
01,職務経歴書から今すぐ消すべきNG表現,本文,"書類が通らないエンジニアは、職務経歴書からこの表現を消してください。

コミュニケーション能力に自信があります
幅広い業務に携わりました
チームの一員として尽力しました
上流から下流まで経験
Java、PHP、Pythonなど（羅列だけ）
お客様第一で対応しました
日々勉強中です
マネジメント経験あり（人数なし）
様々な案件を担当
柔軟に対応できます

僕が書類を見るとき、探してるのは「何をどこまで自分で決めたか」なんですよね。主語がチームのままだと、正直なにも残らないです。

書き換え方が分からない人は、",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
01,職務経歴書から今すぐ消すべきNG表現,リプ1,"ぼくのアカウントをフォローしておいてください。

転職活動中のエンジニアに向けて、書類が実際どう見られているかを現役の面接官の視点で発信してるので、定期的に覗きに来てください。",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
02,面接で「用意してきたな」とバレる回答,本文,"IT企業でエンジニア採用してますが、面接で「これ準備してきたな」とバレる回答があります。

御社の技術力に惹かれました
成長できる環境だと感じました
上流工程に挑戦したいです
チーム開発に魅力を感じています
モダンな技術に触れたいです
社会に貢献できる仕事がしたいです
風通しの良い社風が魅力です
自走できるエンジニアになりたいです

中身が悪いわけじゃないです。ぶっちゃけ、どの会社にも出せるから引っかかるだけ。

逆に「御社の技術ブログの◯◯を読んで」が一言入るだけで、こちらの質問が伸びます。

自分の言葉に直せない人は、",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
02,面接で「用意してきたな」とバレる回答,リプ1,"ぼくのアカウントをフォローしておいてください。

面接でどこを見られているか、落ちた理由は何だったのかを採用側の視点で発信してます。",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
03,自社開発以外の受け皿になる企業群,本文,"今の現場から抜けたいエンジニアは、自社開発以外の受け皿も見ておきましょう。

日鉄ソリューションズ
JFEシステムズ
トヨタシステムズ
デンソークリエイト
パナソニック インフォメーションシステムズ
キヤノンITソリューションズ
ANAシステムズ
JR西日本ITソリューションズ
ニッセイ情報テクノロジー
第一生命情報システム
明治安田システム・テクノロジー
損保ジャパン・システムズ
三菱総研DCS
みずほリサーチ&テクノロジーズ
大和総研
電通総研

親会社が事業会社のいわゆるユーザー系です。知名度で選ばれにくいぶん、競争率が落ち着いてるんですよね。

自社開発一本に絞って全落ちする人、毎年います。募集の有無や条件は時期で変わるので、気になった会社は採用ページを直接見てください。

どこから受ければいいか順番が分からない人は、",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
03,自社開発以外の受け皿になる企業群,リプ1,"ぼくのアカウントをフォローしておいてください。

エンジニアのキャリアの作り方を、今まさに中途採用をやっている立場から発信してます。",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
04,面接官が手元のメモに書いていること,本文,"IT企業でエンジニア採用を5年弱やってますが、面接中に僕がメモしてるのはこれです。

質問の意図を取り違えていないか
答えの粒度（抽象で逃げていないか）
詰まったときの立て直し方
技術の選定理由を自分で言えるか
失敗を人のせいにしていないか
逆質問が調べれば分かる内容か
現職の話を説明できるか
入社後に一緒に働く画が浮かぶか

技術力に点数をつけてると思われがちですが、それだけで決まることはないです。断言します。

何を準備すればいいか分からない人は、",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
04,面接官が手元のメモに書いていること,リプ1,"ぼくのアカウントをフォローしておいてください。

面接の裏側、評価のされ方を現役の面接官として発信してるので、よかったら覗きに来てください。",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
05,退職理由のNG→言い換え,本文,"面接でいちばん事故るのは、志望動機じゃなくて退職理由です。

人間関係が合わない
→ 評価の基準が明確な環境で働きたい

残業が多い
→ 設計から関わる時間を確保したい

給与が低い
→ 成果と評価が連動する会社を選びたい

技術が古い
→ 使う技術を自分で選べる側に回りたい

会社の将来が不安
→ 自分の市場価値を自分で作りたい

嘘をつけって話じゃないです。同じ事実を、過去の不満から未来の希望に置き換えるだけ。

「うちでも同じこと言うだろうな」と思われた時点で終わりなんですよね。

自分の退職理由をどう言い換えるか迷ってる人は、",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
05,退職理由のNG→言い換え,リプ1,"ぼくのアカウントをフォローしておいてください。

面接で聞かれることの意図を、採用側の視点で言語化して発信してます。",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
06,転職活動を始める前の1週間でやること,本文,"転職を考え始めた社会人エンジニアは、応募する前にこれを用意しておきましょう。

直近3年の担当業務の棚卸し
自分が判断した箇所のメモ
関わった人数と自分の役割
使った技術と、その選定理由
規模感（件数・期間・台数など）
成果物やGitHubのURL
希望条件の優先順位を3つまで
現職に残る場合の条件

応募しながら作ろうとすると、初動が必ず落ちます。ここで手を抜いた人から書類で消えていくかと。

何から手をつければいいか分からない人は、",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
06,転職活動を始める前の1週間でやること,リプ1,"ぼくのアカウントをフォローしておいてください。

転職活動の進め方を、選ぶ側がどう見ているかとセットで発信してます。",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
07,求人票でここだけは見るべき欄,本文,"求人票、年収の上限だけ見て応募してないですか。

想定年収の「下限」
募集背景（増員か欠員か）
開発体制の人数
受託か自社かSESか
使用技術のバージョン
選考フローの回数
試用期間の条件
勤務地と出社頻度の但し書き

上限の数字は、正直いちばん当てになりません。実際に提示されるのは下限に近い額なので、そこを見て納得できるかが全てです。

どこを見れば地雷を避けられるか分からない人は、",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
07,求人票でここだけは見るべき欄,リプ1,"ぼくのアカウントをフォローしておいてください。

求人票の裏側や、中途採用のリアルを現役の面接官として発信してます。",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
08,カジュアル面談で聞いておくべき質問,本文,"カジュアル面談、聞きたいことを聞かずに終わる人が多すぎます。

このポジションは増員ですか、欠員ですか
直近で辞めた方はどんな理由でしたか
入社後3ヶ月で何を任せますか
技術選定は誰が決めていますか
コードレビューは誰がしますか
評価は誰がいつ決めますか
今いちばん困っていることは何ですか
このチームで一番長くいる方は何年目ですか

聞きにくいと思われがちですが、採用側からすると普通の質問です。マジで、何も聞かない人のほうが不安なんですよね。

何を聞けばいいか分からない人は、",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
08,カジュアル面談で聞いておくべき質問,リプ1,"ぼくのアカウントをフォローしておいてください。

面談・面接で聞くべきことを、採用側の本音とあわせて発信してます。",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
09,一次面接で落ちる人の準備不足,本文,"一次面接で落ちる理由、技術じゃないことのほうが多いです。

会社の事業内容を一言で言えない
求人票の必須要件を読んでいない
自分の職務経歴書を覚えていない
逆質問がゼロ
転職の軸が質問ごとに変わる
現職の話が愚痴で終わる
オンラインの通信環境が不安定
開始5分の受け答えが硬いまま

僕は数百人の面接をやってきましたが、一次で見てるのは「一緒に働けるか」の一点に尽きます。

どこから直せばいいか分からない人は、",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
09,一次面接で落ちる人の準備不足,リプ1,"ぼくのアカウントをフォローしておいてください。

落ちた理由と受かる人の違いを、現役の面接官の視点で発信してるので、定期的に覗きに来てください。",2026-09-22,tamura,リスト提示→リプ回収型,draft,,,,,,,
