No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
01,書類が通る人の特徴,本文,"大手メーカーで人事部長してますが、
書類が通る人の特徴はこれですね↓

□ 募集要項の必須要件に、経歴が対応する形で書かれている
□ 担当した範囲と、自分が決めたことが切り分けられている
□ 規模が数字で書いてある（件数・人数・期間のどれかでよい）
□ 直近の記述量がいちばん多い
□ 「等」で濁さず、書ける範囲を具体的に書き切っている
□ 職務要約の3行だけで、何ができる人か分かる
□ 空白期間や転職回数の背景が一行で説明されている

全部埋まっている書類は、正直かなり少なかったりします。",2026-09-23,kei,リスト提示→リプ回収型（チェックボックス版）,draft,,,,,,,
02,一次面接を通過する人,本文,"一次面接を通る人、共通点がはっきりしてます↓

□ 自己紹介が1分に収まっている
□ 質問に対して、結論から答えている
□ 現職の業務を、社内用語なしで説明できている
□ 退職理由が他責になっていない
□ 転職の軸を自分の言葉で言える
□ 逆質問を2つ以上用意している
□ 会社の事業内容を一言で説明できる

一次で落ちる理由は、能力より準備だったりします。",2026-09-23,kei,リスト提示→リプ回収型（チェックボックス版）,draft,,,,,,,
03,最終面接で決まる人,本文,"大手メーカーで人事部長してますが、
最終で決まる人はここが違います↓

□ 志望理由が、二次までに聞いた情報で更新されている
□ 入社後にやりたいことを具体的に言える
□ 他社の選考状況を正直に話している
□ 条件の希望を隠していない
□ 逆質問が現場向けではなく、事業や組織の話になっている
□ 「なぜ同業他社ではなくうちか」に答えられる
□ 長く働く前提の話ができている

最終で見ているのは能力ではなく、本当に来るかだったりします。",2026-09-23,kei,リスト提示→リプ回収型（チェックボックス版）,draft,,,,,,,
04,職務経歴書が最後まで読まれる人,本文,"読む側として言うと、最後まで読まれる経歴書はこれです↓

□ 職務要約が3行で終わっている
□ 会社概要が2行以内（長い会社説明は読まれない）
□ 案件ではなく役割で書かれている
□ 主語が「チーム」ではなく「自分」になっている
□ 成果のあとに、どう工夫したかが1行ある
□ 使用ツールが具体的に書いてある
□ A4で2〜3枚に収まっている

書類は読ませる勝負ではなく、読み切らせる勝負だったりします。",2026-09-23,kei,リスト提示→リプ回収型（チェックボックス版）,draft,,,,,,,
05,20代で評価される人,本文,"大手メーカーで人事部長してますが、
20代で評価が跳ねる人はこれができてます↓

□ 依頼された仕事の「目的」を確認してから着手している
□ 雑務の質が高い（議事録に次のアクションが書いてある）
□ 返事が早い。完璧な回答より先に一次返答が来る
□ ミスを他責にせず、改善策とセットで報告する
□ 相談するとき、自分の案を持ってくる
□ 結論から話す
□ 途中経過を自分から共有する

能力差ではなく、この積み重ねで差がついていたりします。",2026-09-23,kei,リスト提示→リプ回収型（チェックボックス版）,draft,,,,,,,
06,上司に信頼される人,本文,"信頼される若手、やっていることは地味です↓

□ 期日を守る。難しいときは早めに相談する
□ 報告のとき、事実と意見を分けて話す
□ 会議の開始時間に遅れない
□ 資料の体裁が整っていて、説明しやすい
□ 同じ指摘を二度受けない
□ 分からないことを早い段階で聞く
□ 引き受けた仕事の状況を、聞かれる前に出す

信頼は一回の成果ではなく、毎日の安心感で積み上がるものだったりします。",2026-09-23,kei,リスト提示→リプ回収型（チェックボックス版）,draft,,,,,,,
07,転職の準備ができている人,本文,"動き出す前に、ここが埋まっているか確認してください↓

□ 今の不満を全部書き出した
□ 不満を「次に必要な条件」に言い換えた
□ 条件の優先順位を3つに絞った
□ 直近3年の業務を棚卸しした
□ 自分が判断した場面を書き出した
□ 職務経歴書を役割ベースで書き直した
□ 2週間分の面接候補日を確保した

応募しながら作ろうとすると、必ず初動が落ちたりします。",2026-09-23,kei,リスト提示→リプ回収型（チェックボックス版）,draft,,,,,,,
08,逆質問がうまい人,本文,"大手メーカーで人事部長してますが、
逆質問で印象が上がる人はこれです↓

□ 調べれば分かることを聞いていない
□ 入社後を前提にした質問になっている
□ 相手の立場に合わせて質問を変えている
□ 条件の質問を、仕事の質問と混ぜている
□ 「特にありません」で終わらせない
□ 聞いた内容に対して、自分の考えを一言返している
□ 質問を2つに絞って、深く聞いている

逆質問は評価の場です。おまけの時間ではなかったりします。",2026-09-23,kei,リスト提示→リプ回収型（チェックボックス版）,draft,,,,,,,
09,入社後の立ち上がりが早い人,本文,"入社後3ヶ月で差がつくポイントはここです↓

□ 最初の1週間で、関係者の名前と役割を覚えた
□ 社内用語をメモにまとめている
□ 前職のやり方をいったん置いている
□ 小さい仕事で先に結果を出している
□ 分からないことを溜めずに聞いている
□ 自分の担当範囲を早い段階で確認した
□ 評価のタイミングと基準を把握している

転職の成否は、入社後1ヶ月でだいたい決まったりします。",2026-09-23,kei,リスト提示→リプ回収型（チェックボックス版）,draft,,,,,,,
10,30代で選択肢がある人,本文,"20代のうちに、ここを積めているかどうかです↓

□ 数字の目標を持って働いた経験がある
□ 自分で判断した場面を具体的に語れる
□ 責任を持った役割を経験している
□ 難しい局面を乗り越えた経験がある
□ 後輩を教えた経験がある
□ 社外の人と交渉した経験がある
□ 失敗を改善につなげた経験がある

30代の選択肢は、20代で積んだ負荷の量で決まったりします。",2026-09-23,kei,リスト提示→リプ回収型（チェックボックス版）,draft,,,,,,,
01,転職理由,本文,"転職理由は「不満」ではなく「できないこと」で話すと通ります↓

Q.転職を考えた理由を教えてください。

NG：上司と合わず、評価もされなかったからです

OK：「現職では既存顧客の対応を中心に担当してきました。継続率を上げる工夫を重ねる中で、提案の設計から関わりたい気持ちが強くなっています。ただ現職では担当範囲が決まっており、その機会が限られるため、転職を考えました」",2026-09-23,kei,NG連打→OK提示型（Q&A一問一答版）,draft,,,,,,,
02,志望動機,本文,"志望動機は「前職の課題」と接続すると一気に通ります↓

Q.なぜ当社を志望されたのですか。

NG：成長している業界で、御社の理念にも共感したからです

OK：「前職で紙とExcelでの管理に限界を感じていました。御社のサービスを実際に使ってみたところ、まさにその工程が消える設計になっていて、自分が困っていた側だからこそ伝えられると考えています」",2026-09-23,kei,NG連打→OK提示型（Q&A一問一答版）,draft,,,,,,,
03,自己紹介,本文,"自己紹介は経歴の朗読ではなく、1分の設計です↓

Q.簡単に自己紹介をお願いします。

NG：〇〇大学を卒業し、新卒で〇〇に入社しまして、その後は…（3分）

OK：「〇〇業界で法人営業を3年、直近は既存顧客の拡大を担当しています。担当は〇社で、うち〇社は自分で立ち上げました。本日は、その経験が御社のどこで活きるかをお話しできればと思っています」",2026-09-23,kei,NG連打→OK提示型（Q&A一問一答版）,draft,,,,,,,
04,強み,本文,"強みは、形容詞ではなく場面で語ると伝わります↓

Q.ご自身の強みを教えてください。

NG：コミュニケーション能力と責任感です

OK：「初対面の相手から情報を引き出すのが得意です。前職では問い合わせ対応を担当し、要望をそのまま受けるのではなく背景を確認してから提案する形に変えました。結果として差し戻しが減り、対応件数も増やせています」",2026-09-23,kei,NG連打→OK提示型（Q&A一問一答版）,draft,,,,,,,
05,弱み,本文,"弱みは「事実＋いま続けている対策」で答えると評価が上がります↓

Q.ご自身の弱みを教えてください。

NG：完璧主義なところです（以上）

OK：「一人で抱えてしまうところです。前職で納期直前に相談して迷惑をかけた経験があり、それ以来、着手前に想定工数を共有し、遅れそうなら半分の時点で相談するようにしています。今も意識して続けている部分です」",2026-09-23,kei,NG連打→OK提示型（Q&A一問一答版）,draft,,,,,,,
06,希望年収,本文,"大手メーカーで人事部長してますが、
希望年収は遠慮すると本当に損します↓

Q.希望年収はいくらですか。

NG：御社の規定に従います

OK：「現在〇〇万円をいただいております。前職では〇〇まで任されていたため、同等の範囲であれば〇〇万円を目安に考えています。ただ役割によって適正は変わると認識していますので、期待値とあわせてご相談できればと思います」",2026-09-23,kei,NG連打→OK提示型（Q&A一問一答版）,draft,,,,,,,
07,なぜ弊社か,本文,"「なぜうちか」は、他社では言えない理由にするのが答えです↓

Q.同業他社ではなく、なぜ当社なのですか。

NG：業界最大手で、安定していると思ったからです

OK：「他社も同じ領域を扱っていますが、御社は導入後の支援まで自社で持っている点が違うと感じました。前職で導入後に放置された経験があり、そこを自分で埋める仕事がしたいと考えています」",2026-09-23,kei,NG連打→OK提示型（Q&A一問一答版）,draft,,,,,,,
08,失敗した経験,本文,"失敗談は「事実→打ち手→今の運用」まで話すと強みになります↓

Q.これまでの失敗経験を教えてください。

NG：案件が炎上して、精神的にきつかったです

OK：「受注が3ヶ月ゼロだったことがあります。失注理由を並べたところ、決裁者に会えていないことが原因でした。以来、初回の商談で決裁フローを確認するようにしており、今もその形で進めています」",2026-09-23,kei,NG連打→OK提示型（Q&A一問一答版）,draft,,,,,,,
09,残業への考え方,本文,"残業の質問は、姿勢と効率の両方を見られています↓

Q.残業についてどうお考えですか。

NG：できるだけ残業は避けたいです

OK：「必要な場面では対応します。ただ前職では、属人化していた資料作成を型にして、月の作業時間を減らした経験があります。時間をかけること自体が目的にならないよう意識しています」",2026-09-23,kei,NG連打→OK提示型（Q&A一問一答版）,draft,,,,,,,
10,転職回数,本文,"転職回数は、回数ではなく一貫性で見られています↓

Q.転職回数が多いようですが、理由を教えてください。

NG：どこも合わなくて、たまたま続かなかっただけです

OK：「3社とも顧客は同じ業界です。担当範囲を広げるために動いてきました。2社目は事業撤退により担当が変わったことが理由です。今回は評価者とレビュー体制を必ず確認しており、腰を据えたいと考えています」",2026-09-23,kei,NG連打→OK提示型（Q&A一問一答版）,draft,,,,,,,
01,上司の2タイプ,本文,"20代のキャリア支援を1,000人以上してきて気づきましたが
上司には2種類のパターンが存在します

① 結論先行型上司
② 背景重視型上司

①は、結論を先に言って、理由は聞かれたら出すと一気に信頼される

②は、なぜそう判断したかを先に共有すると刺さる。報告の順番を変えるだけだったりします。",2026-09-23,kei,2タイプ分類→攻略提示型,draft,,,,,,,
02,評価者の2タイプ,本文,"大手メーカーで人事部長してますが
評価する側にも2種類のパターンが存在します

① 成果重視型
② プロセス重視型

①は、数字と結果を先に置き、達成の再現性を語ると刺さる

②は、途中経過の共有量が評価に直結する。報告の頻度を上げるだけで変わったりします。",2026-09-23,kei,2タイプ分類→攻略提示型,draft,,,,,,,
03,伸びる20代の2タイプ,本文,"これまで多くの若手を見てきましたが
伸びる20代にも2種類のパターンが存在します

① 深掘り型
② 越境型

①は、一つの領域で誰より詳しくなる。専門性が武器になる

②は、隣の領域に手を伸ばし続ける。調整役として重宝される。どちらでも伸びます。問題は、どちらでもない状態だったりします。",2026-09-23,kei,2タイプ分類→攻略提示型,draft,,,,,,,
04,会社の2タイプ,本文,"20代が入る会社にも2種類のパターンが存在します

① 型がある会社
② 型を作る会社

①は、仕組みを学べる。再現性のある仕事の進め方が身につく

②は、裁量が早い。ただし整える側に回るので負荷も大きい。新卒3年目までなら①、その後に②が個人的にはおすすめだったりします。",2026-09-23,kei,2タイプ分類→攻略提示型,draft,,,,,,,
05,転職する人の2タイプ,本文,"20代のキャリア支援を1,000人以上してきて気づきましたが
転職する人には2種類のパターンが存在します

① 逃げる転職
② 取りに行く転職

①は、辞めたい理由が先にある。これ自体は悪くないが、条件に翻訳しないと同じ会社に当たる

②は、次に得たいものが先にある。面接でも軸がぶれないので、結果が出やすかったりします。",2026-09-23,kei,2タイプ分類→攻略提示型,draft,,,,,,,
06,書類の読まれ方の2タイプ,本文,"大手メーカーで人事部長してますが
書類の読まれ方には2種類のパターンが存在します

① 要件照合型
② ストーリー確認型

①は、必須要件に対応する経歴を先頭に置くと通る

②は、転職の一貫性を見ている。職歴の並びに理由が見えると通る。1社目は①、最終は②で読まれていたりします。",2026-09-23,kei,2タイプ分類→攻略提示型,draft,,,,,,,
07,逆質問の2タイプ,本文,"逆質問にも2種類のパターンが存在します

① 確認型の逆質問
② 提案型の逆質問

①は、条件や体制を確かめる質問。入社後のギャップを減らせる

②は、自分ならこうすると添える質問。評価には②が効きます。ただ①を飛ばすと入社後に後悔するので、両方必要だったりします。",2026-09-23,kei,2タイプ分類→攻略提示型,draft,,,,,,,
08,キャリアの積み方の2タイプ,本文,"20代のキャリアの積み方にも2種類のパターンが存在します

① 積み上げ型
② 掛け合わせ型

①は、一つの専門で上を目指す。分かりやすく強い

②は、二つの経験を掛ける。希少性で勝負できる。どちらを選ぶにせよ、20代で一つ目を固めるのが先だったりします。",2026-09-23,kei,2タイプ分類→攻略提示型,draft,,,,,,,
09,成長環境の2タイプ,本文,"成長できる環境にも2種類のパターンが存在します

① 負荷が高い環境
② 打席が多い環境

①は、一つひとつが重く、判断の経験が濃く積める

②は、回数が多い。失敗しても次がすぐ来るので改善が早い。20代は②のほうが伸びやすかったりします。",2026-09-23,kei,2タイプ分類→攻略提示型,draft,,,,,,,
10,面接の緊張の2タイプ,本文,"面接での緊張にも2種類のパターンが存在します

① 準備不足からくる緊張
② 期待値が高いからくる緊張

①は、想定質問を潰すと消える。準備でしか解決しない

②は、消さなくていい。むしろ真剣さとして伝わります。自分がどちらか分かるだけで、対処が変わったりします。",2026-09-23,kei,2タイプ分類→攻略提示型,draft,,,,,,,
01,マネジメント経験を問う質問,本文,"大手メーカーで人事部長してますが
マネジメント経験はこれ以外に聞かれないです

■体制について
○何人のチームを見ていましたか
○メンバーの年齢層と経験値は
○採用や評価にも関わっていましたか

■育成について
○成果が出ていないメンバーにどう関わりましたか
○辞めそうなメンバーにどう対応しましたか
○あなたが育てた人は、今どうなっていますか

■判断について
○チームの目標はどう決めていましたか
○未達のとき、何を変えましたか
○上と現場の板挟みになった場面は
　- そのときどう判断しましたか

■自己認識
○マネジメントで苦手なことは何ですか",2026-09-23,kei,網羅リスト（カテゴリ付き質問版）,draft,,,,,,,
02,若手（1〜3年目）に聞く質問,本文,"20代前半の方に聞く質問、だいたいこれで全部です

■仕事の理解
○いまの仕事内容を簡単に教えてください
○そのなかで、自分が任されている範囲は
○1日の時間配分はどうなっていますか

■姿勢
○入社してから、できるようになったことは
○いちばん苦労したことは何ですか
　- どう乗り越えましたか
○上司からよく受ける指摘は何ですか

■思考
○指示の意図が分からないとき、どうしますか
○改善を提案した経験はありますか

■今後
○この先、何ができるようになりたいですか
○なぜこのタイミングで動くのですか",2026-09-23,kei,網羅リスト（カテゴリ付き質問版）,draft,,,,,,,
03,営業職に聞く質問,本文,"営業の面接、聞かれることはほぼ固定です

■実績について
○担当していた商材と顧客の規模は
○目標と達成率を教えてください
○新規と既存の比率は

■プロセスについて
○商談の流れを説明してください
○決裁者にはどう会っていましたか
○失注の理由をどう分析していましたか
　- 改善のために何を変えましたか

■再現性について
○成果が出た理由を自分ではどう考えていますか
○同じやり方は他の商材でも通用しますか

■スタンス
○売れない時期に何をしていましたか
○顧客に断られた経験で印象的なものは",2026-09-23,kei,網羅リスト（カテゴリ付き質問版）,draft,,,,,,,
04,管理部門に聞く質問,本文,"経理・人事・総務の面接で聞かれることはこれです

■業務範囲
○担当業務の範囲を教えてください
○月次と年次で何を担当していましたか
○使用していたシステムは

■精度とスピード
○ミスを防ぐために工夫していたことは
○締め日のスケジュールはどう組んでいましたか

■改善
○業務を効率化した経験はありますか
　- 何時間減りましたか
○属人化していた業務をどう引き継ぎましたか

■連携
○他部署からの無茶な依頼にどう対応しますか
○現場と経営、どちらの視点で考えますか",2026-09-23,kei,網羅リスト（カテゴリ付き質問版）,draft,,,,,,,
05,最終面接で役員が聞く質問,本文,"大手メーカーで人事部長してますが
最終で聞かれることは、ほぼこの範囲です

■志望度
○なぜ同業他社ではなく当社なのですか
○他社の選考状況を教えてください
○内定が出たらどうされますか

■将来
○5年後、どうなっていたいですか
○当社で何を実現したいですか

■人物
○これまでで一番の失敗は何ですか
○周囲からどんな人だと言われますか
○意見が対立したとき、どうしますか

■条件
○希望年収と入社可能時期を教えてください
○最後に質問はありますか",2026-09-23,kei,網羅リスト（カテゴリ付き質問版）,draft,,,,,,,
06,人事面接で聞く質問,本文,"一次の人事面接、見ているのは相性と定着です

■経歴の確認
○これまでの職歴を簡単に教えてください
○転職を考えた理由は
○前職を辞めた理由は

■働き方
○勤務地に希望はありますか
○残業についてどうお考えですか
○リモートと出社、どちらを希望しますか

■人柄
○チームではどんな役割が多いですか
○苦手なタイプの人はいますか
　- そういう人とどう仕事をしますか

■確認事項
○入社可能時期はいつですか
○現在の年収と希望年収を教えてください",2026-09-23,kei,網羅リスト（カテゴリ付き質問版）,draft,,,,,,,
07,カジュアル面談で聞かれること,本文,"選考ではないと言われますが、記録は残ります

■状況の確認
○転職はいつ頃を考えていますか
○他社も見ていますか
○どんな軸で探していますか

■経歴
○いまのお仕事を教えてください
○ご経験の中で得意な領域は

■希望
○次の会社に求めることは何ですか
○年収の希望はありますか
○働き方の希望はありますか

■こちらから
○当社について気になる点はありますか
○選考に進まれますか",2026-09-23,kei,網羅リスト（カテゴリ付き質問版）,draft,,,,,,,
08,転職理由の深掘り質問,本文,"転職理由は、1回では終わりません

■事実の確認
○転職を考えた直接のきっかけは
○それはいつ頃からですか
○社内で解決できる可能性はありましたか
　- 相談はしましたか

■背景
○その状況を改善するために何をしましたか
○上司にはどう伝えていましたか

■再発防止
○次の会社で同じことが起きたらどうしますか
○今回の会社選びで重視していることは

■一貫性
○これまでの転職にも同じ理由がありますか",2026-09-23,kei,網羅リスト（カテゴリ付き質問版）,draft,,,,,,,
09,ストレス耐性を見る質問,本文,"言い方は違っても、見ているのは同じです

■負荷の経験
○これまででいちばん忙しかった時期は
○そのとき何時間くらい働いていましたか
○どう乗り切りましたか

■対人の負荷
○理不尽な要求を受けた経験は
　- どう対応しましたか
○厳しい指摘を受けたときの受け止め方は

■自己管理
○ストレスを感じるのはどんなときですか
○気持ちの切り替え方は
○体調を崩したことはありますか

■限界の把握
○どんな環境だと力を発揮できませんか",2026-09-23,kei,網羅リスト（カテゴリ付き質問版）,draft,,,,,,,
10,カルチャーフィットを見る質問,本文,"落とす理由の多くは、能力ではなくここです

■価値観
○仕事で大事にしていることは何ですか
○どんなときにやりがいを感じますか
○尊敬する上司はどんな人でしたか

■チームでの動き方
○チームで意見が割れたとき、どうしますか
○一人で進めるのとチームで進めるの、どちらが得意ですか

■変化への態度
○急に方針が変わったときの対応は
○新しいやり方を求められたらどうしますか

■相互理解
○当社にどんな印象を持っていますか
○合わないかもしれないと感じる点はありますか",2026-09-23,kei,網羅リスト（カテゴリ付き質問版）,draft,,,,,,,
01,自己PR,本文,"面接で必ず聞かれる自己PRは、3つの軸で話すと面接官も納得します

【例】
できること（事実）：法人営業を3年、既存顧客の拡大を担当
どう成果を出したか（再現性）：決裁者との接点を初回で作る進め方に変えた
どう活かすか（接続）：御社の既存顧客からの拡大にそのまま使える",2026-09-23,kei,3軸フレーム提示型,draft,,,,,,,
