No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
06,Webセキュリティ 10日間ロードマップ,本文,"IT企業でエンジニア採用してますが、微経験の方に「セキュリティは意識してますか」と聞くと、多くの方が意識してますと答えます。ただ具体的な対策の話に入ると、そこで止まる方がかなり多い印象です。

そこで【Webセキュリティ10日間ロードマップ】を作りました。

1日15〜30分でOK。
面接で差がつく順に並べてます。

1日目

↓",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
06,Webセキュリティ 10日間ロードマップ,リプ1日目,"認証と認可を分ける

混ぜて語る方がかなりいます。

・認証は誰かを確かめること
・認可は何をしていいか決めること
・ログインできる、と、見ていい、は別

この2つを一言で分けられれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
06,Webセキュリティ 10日間ロードマップ,リプ2日目,"パスワードの扱い

事故ると一番大きい領域です。

・平文で保存しない
・ハッシュ化とソルト
・使い回しを前提に多要素を足す

「なぜハッシュで、暗号化ではないか」を言えるのが目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
06,Webセキュリティ 10日間ロードマップ,リプ3日目,"SQLインジェクション

基本ですが、いまだに出ます。

・入力値を文字列連結しない
・プレースホルダを使う
・エスケープ任せにしない

対策を1行のコードで示せれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
06,Webセキュリティ 10日間ロードマップ,リプ4日目,"XSSを防ぐ

フロント側の定番です。

・出力時にエスケープする
・HTMLをそのまま埋め込まない
・Content-Security-Policy を入れる

「どこでエスケープするか」を言えるのが目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
06,Webセキュリティ 10日間ロードマップ,リプ5日目,"CSRFを防ぐ

面接で最も差がつく領域です。

・ログイン中の人に意図しない操作をさせる攻撃
・トークンで正規の画面からの送信か確認する
・SameSite属性でCookieの送信を絞る

XSSとの違いを説明できるかを見ています。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
06,Webセキュリティ 10日間ロードマップ,リプ6日目,"セッションとCookie

ログインまわりの土台です。

・セッションIDは推測されない値にする
・HttpOnly と Secure を付ける
・ログアウトでサーバ側も破棄する

今日の宿題は、手元のサービスのCookie属性を見てみること。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
06,Webセキュリティ 10日間ロードマップ,リプ7日目,"権限まわりの穴を塞ぐ

意外と抜けている場所です。

・URLのIDを変えたら他人のデータが見える
・画面で隠しても、APIが開いていたら意味がない
・サーバ側で必ず権限を確認する

「画面制御は対策にならない」と言えれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
06,Webセキュリティ 10日間ロードマップ,リプ8日目,"依存ライブラリを管理する

自分のコード以外の穴です。

・脆弱性情報の確認
・バージョンを固定する
・更新を定期的に回す仕組み

更新を止めているリスクを説明できると強いです。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
06,Webセキュリティ 10日間ロードマップ,リプ9日目,"ログと秘匿情報

ここで事故る現場が多いです。

・パスワードやトークンをログに出さない
・エラー画面に内部情報を出さない
・環境変数やシークレット管理で持つ

「何をログに残して、何を残さないか」を言えれば十分です。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
06,Webセキュリティ 10日間ロードマップ,リプ10日目,"総復習

今日確認すること。

・認証と認可
・パスワードの保存
・SQLインジェクション
・XSS
・CSRF
・セッションとCookie属性
・権限チェックの位置
・依存ライブラリの更新
・ログと秘匿情報

ここまで説明できれば、意識してますの一言では終わらなくなるかと。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
07,テスト 10日間ロードマップ,本文,"IT企業でエンジニア採用してますが、微経験の方に「テストは書いてますか」と聞くと、多くの方が書いてますと答えます。ただ何をどこまで書くかの話に入ると、そこで止まる方がかなり多い印象です。

そこで【テスト10日間ロードマップ】を作りました。

1日15〜30分でOK。
面接で差がつく順に並べてます。

1日目

↓",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
07,テスト 10日間ロードマップ,リプ1日目,"テストの種類を分ける

まずは地図を持ちます。

・単体 / 結合 / E2E
・上に行くほど遅くて壊れやすい
・下を厚く、上を薄くする

3層の違いを説明できれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
07,テスト 10日間ロードマップ,リプ2日目,"最初の1本を書く

書き始められるかがすべてです。

・準備 / 実行 / 検証の3ブロック
・テスト名に期待する結果を書く
・1テスト1観点

名前を見ただけで中身が分かる状態にできれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
07,テスト 10日間ロードマップ,リプ3日目,"境界値を狙う

バグが出る場所は決まっています。

・0件 / 1件 / 上限
・空文字とnull
・日付のまたぎ

「なぜこのケースを選んだか」を言えるのが目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
07,テスト 10日間ロードマップ,リプ4日目,"モックを使う

外部に依存すると壊れます。

・外部APIやDBを差し替える
・決まった値を返させる
・モックしすぎると意味がなくなる

「どこまでモックするか」の線を引けるのが目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
07,テスト 10日間ロードマップ,リプ5日目,"カバレッジと向き合う

面接で最も差がつく領域です。

・通った行の割合であって、正しさの証明ではない
・100%を目指すと壊れやすくなる
・重要な処理から厚くする

数字を目的にしない理由を説明できるかを見ています。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
07,テスト 10日間ロードマップ,リプ6日目,"壊れたテストを直す

運用できるかどうかの分かれ目です。

・仕様変更で落ちたのか、バグで落ちたのか
・落ちたまま放置しない
・不安定なテストは原因を潰す

今日の宿題は、落ちているテストを1本、原因まで追うこと。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
07,テスト 10日間ロードマップ,リプ7日目,"CIで自動実行する

チームで効いてきます。

・プッシュのたびに走らせる
・マージ前に必ず通す
・実行時間が長いと誰も待たなくなる

「なぜCIに入れるか」を一言で言えれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
07,テスト 10日間ロードマップ,リプ8日目,"バグからテストを書く

一番評価される習慣です。

・再現するテストを先に書く
・直してから通るのを確認する
・同じバグが二度出なくなる

この流れを説明できると、そのまま面接の材料になります。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
07,テスト 10日間ロードマップ,リプ9日目,"テストしやすい設計にする

書けない原因はコード側にあります。

・外部依存を引数で渡す
・関数を小さく分ける
・副作用を1か所に寄せる

「テストが書きにくい＝設計のサイン」と言えれば十分です。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
07,テスト 10日間ロードマップ,リプ10日目,"総復習

今日確認すること。

・テストの3層
・テストの書き方の型
・境界値の選び方
・モックの範囲
・カバレッジの意味
・壊れたテストの扱い
・CIでの自動実行
・バグからテストを書く流れ
・テストしやすい設計

ここまで説明できれば、書いてますの一言より確実に刺さるかと。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
08,設計・アーキテクチャ 10日間ロードマップ,本文,"IT企業でエンジニア採用してますが、微経験の方に「設計もやりますか」と聞くと、多くの方が少しはと答えます。ただなぜその形にしたかの話に入ると、そこで止まる方がかなり多い印象です。

そこで【設計10日間ロードマップ】を作りました。

1日15〜30分でOK。
面接で差がつく順に並べてます。

1日目

↓",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
08,設計・アーキテクチャ 10日間ロードマップ,リプ1日目,"責務を分ける

設計の話は、全部ここから始まります。

・1つの部品に1つの役割
・何をする場所かを名前で言える
・変更理由が2つあるなら分ける

自分のコードを1つ、役割で説明できれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
08,設計・アーキテクチャ 10日間ロードマップ,リプ2日目,"層を分ける

どこに何を書くかの地図です。

・入口 / 業務ロジック / データ
・業務ロジックにSQLを混ぜない
・層をまたぐ依存の向きを揃える

「このコードはどの層か」を即答できれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
08,設計・アーキテクチャ 10日間ロードマップ,リプ3日目,"依存の向きを意識する

最初の壁です。

・上位が下位に依存する
・具体ではなく抽象に依存させる
・インターフェースで差し替え可能にする

「なぜ引数で渡すのか」を言えるのが目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
08,設計・アーキテクチャ 10日間ロードマップ,リプ4日目,"データの持ち方を決める

後から一番変えにくい場所です。

・テーブル設計と正規化
・正規化を崩す判断もある
・IDと状態をどこで持つか

崩した理由を説明できるのが目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
08,設計・アーキテクチャ 10日間ロードマップ,リプ5日目,"採らなかった案を残す

面接で最も差がつく領域です。

・比較した候補を書き出す
・却下した理由を1行で残す
・前提が変われば結論も変わる

選んだ案ではなく、選び方を見ています。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
