No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
01,カスタマーサクセスの面接で聞かれること,本文,"未経験からCSを受ける人が聞かれること、まとめ↓

なぜ営業ではなくCSなのか
↓
CSとカスタマーサポートの違いは
↓
解約を防ぐために何が必要だと思うか
↓
顧客の利用状況をどう把握するか
↓
使われていない顧客にどう連絡するか
↓
オンボーディングという言葉の理解
↓
ヘルススコアを聞いたことがあるか
↓
アップセルとクロスセルの違い
↓
前職で顧客と長く関わった経験
↓
クレームを受けたときの動き方
↓
複数社を同時に担当した経験
↓
社内の他部署を巻き込んだ経験
↓
改善提案をした経験
↓
弊社プロダクトを触った感想
↓
中長期でどうなりたいか",2026-09-23,haru,網羅リスト（↓連結）型,draft,,,,,,,
02,インサイドセールスの面接で聞かれること,本文,"ISを受けるなら、この質問は準備しておいてください↓

なぜ営業ではなくISなのか
↓
ISとFSの違いを説明できるか
↓
架電に抵抗はあるか
↓
1日に何件架電した経験があるか
↓
断られ続けたときの立て直し方
↓
商談化率という言葉の理解
↓
どんなKPIを追ってきたか
↓
数字が未達のとき何をしたか
↓
トークスクリプトをどう改善したか
↓
リードの優先順位をどうつけるか
↓
FSに渡す情報として何が必要か
↓
CRMやSFAを使った経験
↓
地道な作業を続けた経験
↓
チームで数字を追った経験
↓
入社後にまず何をしたいか",2026-09-23,haru,網羅リスト（↓連結）型,draft,,,,,,,
03,SaaS転職の選考フロー,本文,"SaaS企業の選考、だいたいこの流れです↓

カジュアル面談
↓
書類選考
↓
一次面接（人事）
↓
適性検査
↓
二次面接（現場マネージャー）
↓
ロープレまたは課題
↓
三次面接（部門責任者）
↓
リファレンスチェック
↓
最終面接（役員）
↓
オファー面談
↓
条件提示
↓
内定承諾

途中で落ちる人の多くは、フローごとに相手が変わることを意識できていません。",2026-09-23,haru,網羅リスト（↓連結）型,draft,,,,,,,
04,応募前にやることの順番,本文,"SaaSに応募する前の準備、この順番でやってください↓

今の不満を書き出す
↓
不満を条件に言い換える
↓
条件の優先順位を3つに絞る
↓
自分の職種の選択肢を調べる
↓
興味のある領域を2つに絞る
↓
その領域のSaaSを10社リスト化
↓
各社のプロダクトを触る
↓
募集要項の必須条件を読む
↓
職務経歴書を役割ベースで書く
↓
志望動機を領域単位で作る
↓
カジュアル面談を2社受ける
↓
そこで出た質問を潰す
↓
本命に応募する",2026-09-23,haru,網羅リスト（↓連結）型,draft,,,,,,,
05,入社後30日でやること,本文,"SaaSに入った後の30日、これをやると立ち上がりが早いです↓

プロダクトを自分で触り倒す
↓
料金プランを暗記する
↓
競合との違いを3つ言えるようにする
↓
導入事例を5本読む
↓
解約になった事例を聞く
↓
先輩の商談に同席する
↓
録画された商談を見る
↓
よくある質問をメモにまとめる
↓
社内の用語集を作る
↓
自分の担当範囲を確認する
↓
KPIの定義を確認する
↓
評価のタイミングを確認する
↓
小さいタスクで結果を出す

最初の1ヶ月で信頼を作れた人だけが、3ヶ月目に意見を通せます。",2026-09-23,haru,網羅リスト（↓連結）型,draft,,,,,,,
06,SaaSで最低限覚えておく用語,本文,"未経験でSaaSを受けるなら、この用語だけは押さえてください↓

ARR
↓
MRR
↓
チャーンレート
↓
LTV
↓
CAC
↓
ユニットエコノミクス
↓
ザ・モデル
↓
MQLとSQL
↓
商談化率
↓
受注率
↓
オンボーディング
↓
ヘルススコア
↓
アップセル
↓
クロスセル
↓
NRR

意味を暗記するだけでは足りません。前職の経験と結びつけて話せるかが分かれ目かと。",2026-09-23,haru,網羅リスト（↓連結）型,draft,,,,,,,
07,職務経歴書に書く項目,本文,"SaaSに出す職務経歴書、入れる項目はこれです↓

職務要約（3行）
↓
会社概要と事業内容
↓
所属と役職
↓
担当した顧客の規模
↓
担当した商材
↓
自分の担当範囲
↓
チーム人数と自分の役割
↓
追っていた数字
↓
達成状況
↓
自分が決めたこと
↓
工夫したことと結果
↓
使用ツール
↓
転職理由を一行
↓
活かせる経験

ここが埋まらない項目は、面接で必ず聞かれます。",2026-09-23,haru,網羅リスト（↓連結）型,draft,,,,,,,
08,オファー面談で確認すること,本文,"内定が出たら、承諾の前にこれを確認してください↓

提示年収の内訳
↓
固定残業の有無と時間
↓
インセンティブの条件
↓
評価のタイミング
↓
評価者は誰か
↓
昇給の実績レンジ
↓
配属チームと担当領域
↓
最初の3ヶ月で期待されること
↓
試用期間の条件
↓
出社頻度の実績
↓
リモートは制度か運用か
↓
入社日の調整余地

聞きにくいと思われがちですが、ここを詰める人のほうが入社後に揉めません。",2026-09-23,haru,網羅リスト（↓連結）型,draft,,,,,,,
09,カジュアル面談の流れ,本文,"カジュアル面談、だいたいこう進みます↓

担当者の自己紹介
↓
会社と事業の説明
↓
プロダクトのデモまたは説明
↓
組織とチームの説明
↓
募集ポジションの説明
↓
こちらの経歴を聞かれる
↓
転職を考えている理由
↓
希望する働き方
↓
質疑応答
↓
選考に進むかの確認

選考ではないと言われますが、記録は残ります。ここで話した内容は面接に引き継がれるかと。",2026-09-23,haru,網羅リスト（↓連結）型,draft,,,,,,,
10,内定から入社までにやること,本文,"内定が出てからの流れ、抜けがちなのでまとめ↓

条件通知書を受け取る
↓
内容を書面で確認する
↓
入社日を決める
↓
承諾の連絡を入れる
↓
他社の選考を辞退する
↓
現職に退職を伝える
↓
就業規則の退職ルールを確認
↓
引き継ぎ計画を作る
↓
有給の残日数を確認
↓
必要書類をそろえる
↓
健康診断を受ける
↓
入社前の事前学習をする

いちばん揉めるのは引き継ぎです。伝える前に計画を作っておくと早いです。",2026-09-23,haru,網羅リスト（↓連結）型,draft,,,,,,,
01,未経験採用がいちばん多いSaaS,本文,"【未経験からの入口がいちばん広い】
SaaS企業はここ↓↓

・中途採用比率【　】%
・直近の採用計画【　】名規模
・未経験可の求人が【　】職種
・面接は【　】回、オンライン完結
・選考結果は【　】日以内に連絡
・【　】上場

経験がないから無理、と決める前に見てほしい会社です。名前は…",2026-09-23,haru,正体伏せ→リプ公開型,draft,,,,,,,
01,未経験採用がいちばん多いSaaS,リプ1,"名前は...

『【社名】』

【主力プロダクトと、誰のどんな業務を解決しているか／2〜3行】

採用数が多い会社は、選考のハードルが構造的に下がります。狙わない理由がないかと。

フォローすると、現役のSaaS企業面接官が
・SaaS企業の面接対策
・SaaS企業のリアル
・未経験からの転職成功法
を発信しています",2026-09-23,haru,正体伏せ→リプ公開型,draft,,,,,,,
02,地方在住でも働けるSaaS,本文,"【引っ越さずにSaaSへ】
地方在住でも受けられる会社はここ↓↓

・リモート可否を【制度として】公開
・出社頻度【　】
・居住地の条件【　】
・対象職種【　】
・入社後の出社義務【　】
・【　】上場

「東京じゃないから無理」で諦めてる人に見てほしいです。名前は…",2026-09-23,haru,正体伏せ→リプ公開型,draft,,,,,,,
02,地方在住でも働けるSaaS,リプ1,"名前は...

『【社名】』

【事業内容／2〜3行】

リモートは運用ではなく制度として公開している会社を選ぶこと。ここが曖昧な会社は、方針が変わった瞬間にハシゴを外されます。

フォローすると、面接官の視点でSaaS転職のリアルを発信しています",2026-09-23,haru,正体伏せ→リプ公開型,draft,,,,,,,
03,20代の年収が伸びるSaaS,本文,"【20代のうちに年収を上げたいなら】
狙うべきSaaSはここ↓↓

・平均年収【　】万円
・平均年齢【　】歳
・評価は年【　】回
・インセンティブ【　】
・昇給の実績レンジ【　】
・【　】上場、直近期の売上【　】億円

若さがハンデにならない会社です。名前は…",2026-09-23,haru,正体伏せ→リプ公開型,draft,,,,,,,
03,20代の年収が伸びるSaaS,リプ1,"名前は...

『【社名】』

【事業内容／2〜3行】

年収は交渉力より、その会社の給与テーブルと評価回数で決まります。20代なら、評価機会が多い会社を選ぶほうが早いかと。

フォローすると、SaaS転職の進め方を面接官の立場から発信しています",2026-09-23,haru,正体伏せ→リプ公開型,draft,,,,,,,
04,育休・時短が実際に使えるSaaS,本文,"【制度があるだけの会社とは違う】
育休が本当に使えるSaaSはここ↓↓

・育休取得率　女性【　】% 男性【　】%
・復職率【　】%
・時短勤務の上限【　】
・子の看護休暇【　】
・リモート可否【　】
・平均残業時間【　】時間

制度の有無ではなく、取得率で見てください。名前は…",2026-09-23,haru,正体伏せ→リプ公開型,draft,,,,,,,
