No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
01,SaaS企業の面接で落ちる理由,パターンA,"大手SaaS企業で面接官してますが、落ちる人の共通点は3つです。

①事業モデルを調べていない
②実績を自分の言葉で話せない
③逆質問がゼロ

スキルを見る前に、この3つで判断が止まります。準備はここからで十分かと。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
01,SaaS企業の面接で落ちる理由,パターンB,"SaaSに落ち続けてる人、実力が足りないわけじゃないです。

見られてるのは売る力より「顧客の課題を言語化する力」なので、話す中身がズレてるだけなんですよね。

伝える順番を変えるだけで、通る人はけっこういます。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
01,SaaS企業の面接で落ちる理由,パターンC,"新卒で入った会社がブラックで、当時の僕は「受かればどこでもいい」で面接を受けてました。

今は選ぶ側にいますが、あの頃の自分は確実に落としてます。

ここで何をしたいかを話せる人が、結局いちばん強いかと。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
02,ブラック企業から抜け出す最初の一歩,パターンA,"ブラック企業から抜けたい人が最初にやるのは、求人探しじゃないです。

①今の労働時間を記録する
②できる業務を書き出す
③譲れない条件を3つに絞る

ここを終えてから探すと、似た環境に戻る確率が下がります。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
02,ブラック企業から抜け出す最初の一歩,パターンB,"「辞めたいけど、動く体力が残ってない」

これ、甘えじゃなくて構造の問題です。忙しいほど調べる時間が消えて、選択肢がないと思い込むんですよね。

マジで、まず1時間確保するところからでいいかと。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
02,ブラック企業から抜け出す最初の一歩,パターンC,"僕が新卒で入った会社は、普通に激務でした。

抜け出せたのは意志が強かったからじゃなく、平日の朝に30分だけ求人を見る時間を作ったからです。

動き出しは、気合いより小さい習慣のほうが効きます。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
03,未経験からSaaSを狙うときの職種,パターンA,"未経験からSaaSを狙うなら、職種を3つに分けて考えてください。

・インサイドセールス
・カスタマーサクセス
・フィールドセールス

求められる経験が違うので、同じ経歴でも通る枠が変わります。まとめて考えると詰まります。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
03,未経験からSaaSを狙うときの職種,パターンB,"「SaaSは未経験だと無理」と思ってる方、多いです。

ただ実際に見てるのは業界経験より、顧客の課題をどう聞き出したか。前職が接客でも、そこが語れれば普通に土俵に乗るんですよね。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
03,未経験からSaaSを狙うときの職種,パターンC,"僕はキャリアアドバイザーをやっていた時期があります。

当時いちばん決まったのは、経歴が派手な人じゃなく「なぜこの仕事なのか」を自分の言葉で言えた人でした。

面接官になった今も、見てる場所は同じです。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
04,職務経歴書でSaaS企業に刺さる書き方,パターンA,"SaaS企業に出す職務経歴書は、この3つを入れてください。

①担当した顧客の規模
②自分が決めたこと
③変えた結果

商材が違っても、この3つがあれば読み替えができます。資格を足すより先にここかと。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
04,職務経歴書でSaaS企業に刺さる書き方,パターンB,"書類が通らない人、書くことがないんじゃないです。

書き方が業務日誌になってるだけなんですよね。やった作業ではなく、自分が判断した場面を書く。それだけで読む側の見え方が変わります。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
04,職務経歴書でSaaS企業に刺さる書き方,パターンC,"支援する側にいた頃、経歴はそのままで書き方だけ直して通った人を何人も見ました。

今は読む側ですが、正直、中身より先に「読み取れるかどうか」で止まってます。

もったいない書類、ほんとに多いです。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
05,逆質問の準備,パターンA,"逆質問は3種類そろえると安定します。

①入社後の役割を確認する質問
②チーム体制を知る質問
③事業の今後を聞く質問

どれも「働いている自分」が前提の問いなので、志望度が自然に伝わります。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
05,逆質問の準備,パターンB,"逆質問で「特にありません」と言ってしまう気持ち、分かります。

聞きたいことがないんじゃなく、何を聞けば失礼にならないか分からないだけなんですよね。

ぶっちゃけ、条件を聞かれて嫌がる面接官はほぼいないです。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
05,逆質問の準備,パターンC,"面接官になって驚いたのは、逆質問の時間はこちらが一番喋ってることです。

いい質問をされると、つい自社の話をしてしまう。

結果、その人が記憶に残って通る。準備した人が得をする時間かと。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
06,求人票でホワイト企業を見分ける,パターンA,"求人票で見るべきはこの3つです。

①募集背景が増員か欠員か
②想定年収の下限
③選考フローの回数

ここが具体的に書かれている会社ほど、入社後の説明もちゃんとしてます。上限の数字は当てになりません。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
06,求人票でホワイト企業を見分ける,パターンB,"ホワイト企業に行きたい、と言いつつ基準が休日数だけになってる方は多いです。

しんどさの正体は時間じゃなく、評価されない環境だったりするんですよね。

自分が何にすり減ったのかを、先に言葉にしたほうが早いかと。",2026-09-22,haru,ABC3パターン（haru専用ルール）,draft,,,,,,,
