No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
01,未経験から技術職に入れる募集,本文,"【速報】エンジニア派遣の大手が未経験採用

■年間休日　【求人票で確認】
■想定年収　【求人票で確認】
■働き方　　【転勤の有無を確認】
■事業内容　自社雇用のエンジニアをメーカーの開発現場へ派遣
■応募条件　【学歴・経験の要件を確認】

未経験から技術職を目指せる数少ないルートです。企業名は、、、",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
01,未経験から技術職に入れる募集,リプ1,"メイテック

自社でエンジニアを雇用し、メーカーの開発現場に送り出している会社です。教育への投資を打ち出しているのが特徴。

ものづくりに関わりたいけど実務経験がない20代のみなさん、選択肢のひとつとして見てみてください。",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
02,第二新卒歓迎の大手メーカー,本文,"【速報】東証プライムの精密機器メーカーが第二新卒を採用

■年間休日　【求人票で確認】
■想定年収　【求人票で確認】
■働き方　　【勤務地・転勤を確認】
■事業内容　分析計測機器・医用機器の開発と販売
■応募条件　【社会人経験の年数を確認】

創業100年を超える会社です。企業名は、、、",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
02,第二新卒歓迎の大手メーカー,リプ1,"島津製作所

大学や企業の研究室で使われる分析装置、医療用の装置を手がけるメーカーです。

研究が続く限り需要が消えない領域なので、腰を据えて働きたい人に向いているかと。",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
03,地域限定職の募集,本文,"【速報】転勤なしで働ける地域限定職の募集

■勤務地　　【募集エリアを確認】
■年間休日　【求人票で確認】
■想定年収　【求人票で確認】
■事業内容　都市ガスの供給とエネルギーサービス
■応募条件　【経験要件を確認】

引っ越したくない人向けの求人です。企業名は、、、",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
03,地域限定職の募集,リプ1,"東京ガス

都市ガスの供給を軸に、電力やエネルギーサービスまで広げている会社です。

地域限定職は、求人票に異動範囲が明記されています。口頭の説明ではなく、必ず記載を確認してください。",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
04,未経験から商社営業,本文,"【速報】独立系の老舗専門商社が営業職を募集

■年間休日　【求人票で確認】
■想定年収　【求人票で確認】
■働き方　　【転勤範囲を確認】
■事業内容　鉄鋼・機械・情報システムの専門商社
■応募条件　【業種・職種不問かを確認】

創業は江戸時代までさかのぼる会社です。企業名は、、、",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
04,未経験から商社営業,リプ1,"岡谷鋼機

名古屋発の独立系専門商社です。特定の系列に属さず、鉄鋼から情報システムまで幅広く扱っています。

総合商社に応募が集中するぶん、専門商社は倍率が落ち着いていることが多いかと。",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
05,社内SEの未経験枠,本文,"【速報】グループ会社の社内SEポジション

■年間休日　【求人票で確認】
■想定年収　【求人票で確認】
■働き方　　【リモート可否を確認】
■事業内容　グループ向けの情報システム開発と運用
■応募条件　【IT経験の要否を確認】

客先常駐ではない働き方を探している人へ。企業名は、、、",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
05,社内SEの未経験枠,リプ1,"NTTコムウェア

NTTグループの通信システムを担う会社です。自社グループ向けの開発が中心になります。

同じITでも、客先常駐が中心か自社内かで生活がまったく変わります。ここは応募前に必ず確認してください。",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
06,設備・インフラの施工管理,本文,"【速報】空調設備の最大手クラスが施工管理を募集

■年間休日　【求人票で確認】
■想定年収　【求人票で確認】
■働き方　　【現場常駐の有無を確認】
■事業内容　空調設備の設計と施工
■応募条件　【未経験可かを確認】

半導体工場やオフィスビルの空調を手がける会社です。企業名は、、、",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
06,設備・インフラの施工管理,リプ1,"高砂熱学工業

空調設備工事の大手です。建物の中の空気をつくる仕事、と言うと想像しやすいかもしれません。

施工管理は現場常駐の有無で働き方が大きく変わります。面接で必ず聞いてみてください。",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
07,医療機器の営業職,本文,"【速報】医療機器メーカーが営業職を募集

■年間休日　【求人票で確認】
■想定年収　【求人票で確認】
■働き方　　【担当エリアを確認】
■事業内容　生体情報モニタなど医療機器の開発と販売
■応募条件　【医療業界未経験可かを確認】

病院を顧客とする営業職です。企業名は、、、",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
07,医療機器の営業職,リプ1,"日本光電

心電図や患者モニタなど、病院で使われる機器を手がけるメーカーです。

医療機器の営業は、製品知識が身につくほど代えがきかなくなります。専門性を積みたい20代のみなさん向きかと。",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
08,物流業界の管理職候補,本文,"【速報】専門物流の大手が管理職候補を募集

■年間休日　【求人票で確認】
■想定年収　【求人票で確認】
■働き方　　【勤務地・シフトを確認】
■事業内容　プラント関連の物流と工場内請負
■応募条件　【社会人経験の年数を確認】

現場をまとめる側に回りたい人へ。企業名は、、、",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
08,物流業界の管理職候補,リプ1,"山九

物流とプラント工事の両方を手がける会社です。工場の中まで入り込んでいるのが特徴。

物流は人手が足りていて、20代が早く任される業界のひとつかと。",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
09,SaaSのインサイドセールス,本文,"【速報】上場SaaS企業が未経験のインサイドセールスを募集

■年間休日　【求人票で確認】
■想定年収　【求人票で確認】
■働き方　　【リモート可否を確認】
■事業内容　中小企業向けの業務ソフト
■応募条件　【社会人経験の年数を確認】

未経験からSaaSに入る定番ルートです。企業名は、、、",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
09,SaaSのインサイドセールス,リプ1,"ラクス

経費精算や電子請求書のサービスを提供している会社です。

インサイドセールスは電話とメールが中心で、教育の仕組みがある会社が多い職種です。未経験の入口としては現実的かと。",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
10,人材業界の未経験採用,本文,"【速報】人材サービス大手が未経験採用

■年間休日　【求人票で確認】
■想定年収　【求人票で確認】
■働き方　　【勤務地を確認】
■事業内容　転職支援・求人メディアの運営
■応募条件　【社会人経験の年数を確認】

僕がいた業界なので、正直なところも書いておきます。企業名は、、、",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
10,人材業界の未経験採用,リプ1,"パーソルキャリア

転職サービスを運営している会社です。

人材業界は未経験からの採用が多い反面、数字を追う文化が強い会社もあります。KPIの設定と未達時の扱いは、面接で必ず聞いてください。

ここを確認できる人は、入ってからのギャップが小さいかと。",2026-09-23,nori,正体伏せ→リプ公開型（速報版）,draft,,,,,,,
