No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
01,20代の転職先の選び方,本文,"マイナビで2万人以上の転職支援をしてきましたが、20代の会社選びは3段階に分かれます

しんどくなる選び方
・知名度だけで決める
・年収の上限だけ見る
・受かったところに決める

無難な選び方
・業界を絞って比較する
・年間休日と残業を確認する
・複数社を並べる

いちばん結果が出る選び方は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
01,20代の転職先の選び方,リプ1,"いちばん結果が出る選び方
・自分の条件を3つに絞ってから探す
・知名度の低い優良企業も候補に入れる
・配属と評価制度まで確認する

倍率は会社の良し悪しではなく、知名度と応募数で決まるんですよね。

良い会社なのに倍率が低いのは、みんなが名前を知らないから。20代のみなさん、有名企業に群がるより、こっちのほうが内定は近いかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
02,求人票の読み込みレベル,本文,"同じ求人票でも、読める人と読めない人で結果が変わります

読めていない人
・仕事内容とタイトルしか見ない
・年収の上限だけ見る
・必須要件を飛ばす

普通の人
・必須と歓迎を分けて読む
・年間休日を確認する
・勤務地を確認する

いちばん強い人は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
02,求人票の読み込みレベル,リプ1,"いちばん強い人
・募集背景が増員か欠員かを読む
・固定残業の時間を確認する
・同じ求人がいつから出ているかを見る

求人票は、その会社の整理力がそのまま出る資料です。

書けることが多い会社ほど、社内で役割が決まっています。抽象的な求人票は、入ってから話が違うが起きやすいかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
03,エージェントの使い方,本文,"エージェント、使い方で結果がまったく変わります

損している人
・登録して待つだけ
・希望を伝えていない
・落ちた理由を聞かない

普通の人
・希望条件を伝えている
・紹介された求人を検討する
・面接対策を受ける

いちばん得している人は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
03,エージェントの使い方,リプ1,"いちばん得している人
・条件を優先順位つきで3つに絞って渡す
・見送り理由を毎回確認する
・合わなければ担当変更を依頼する

担当者は同時に何十人も見ています。何も言わなければ、通りやすい求人から順に案内されるんですよね。

担当変更は普通の依頼です。遠慮して進めるほうが損かと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
04,志望動機の深さ,本文,"志望動機、深さで3段階に分かれます

落ちる志望動機
・成長している業界だから
・理念に共感した
・風通しが良さそう

普通の志望動機
・事業内容に興味がある
・自分の経験が活かせそう
・キャリアの方向性が合う

通る志望動機は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
04,志望動機の深さ,リプ1,"通る志望動機
・前職の課題と会社のサービスがつながっている
・実際に調べた具体が入っている
・入社後にやりたいことまで言える

社名を入れ替えても成立する志望動機は、志望動機として機能していないです。

他社では言えない一言があるかどうか。ここだけかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
05,職務経歴書の完成度,本文,"職務経歴書、完成度は3段階で分かれます

通らない経歴書
・業務が時系列に並んでいるだけ
・主語がチーム
・数字がない

普通の経歴書
・担当範囲が書いてある
・使用ツールが書いてある
・実績が1つある

読まれる経歴書は…",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
05,職務経歴書の完成度,リプ1,"読まれる経歴書
・自分が判断した場面が書いてある
・規模が数字で書いてある
・直近の記述量がいちばん多い

読む側は、何をやったかより「何ができる人か」を探しています。

経歴を盛る必要はないです。すでにやったことが、伝わる形になっていないだけかと。",2026-09-23,nori,3段階格付け→本命公開型,draft,,,,,,,
