No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
01,主要6業界の代表企業,本文,"20代が知っておきたい主要業界の代表企業です

◇インフラ
東京ガス、大阪ガス、中部電力

◇メーカー
味の素、旭化成、ダイキン工業

◇通信
NTTデータ、NTTコムウェア、KDDI

◇金融
↓",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
01,主要6業界の代表企業,リプ1,"◇金融
日本政策投資銀行、東京海上日動火災保険、明治安田生命

◇IT
サイボウズ、TIS、SCSK

◇食品・化学
カゴメ、キユーピー、住友化学

元キャリアアドバイザーとして言うと、働きやすさは会社名ではなく配属部署で8割決まります。

同じ会社でも本社と現場では別世界です。社名だけで決めると外すかと。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
01,主要6業界の代表企業,リプ2,"面接で確認してほしい質問はこの3つです。

・繁忙期は年に何回、どのくらい続きますか
・直近3年で、この部署から異動や退職をした方は何人ですか
・有給は部署単位で平均何日取れていますか

数字で返ってこない会社は、管理していないか、言えないかのどちらかかと。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
02,BtoB部品メーカー,本文,"知名度は低いのに世界で戦っている部品メーカーです

◇動力・駆動
THK、椿本チエイン、NOK

◇空気圧・制御
SMC、CKD、コガネイ

◇半導体関連
ディスコ、ローツェ、東京精密

◇モーター
↓",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
02,BtoB部品メーカー,リプ1,"◇モーター
ニデック、マブチモーター、山洋電気

◇センサー・計測
キーエンス、堀場製作所、アドバンテスト

◇搬送・自動化
ダイフク、安川電機、ファナック

部品メーカーは広告を打たないので、応募が集まりにくい構造になっています。

倍率は会社の良し悪しではなく、知名度と応募数で決まるんですよね。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
02,BtoB部品メーカー,リプ2,"ただ、同じ部品メーカーでも配属で働き方が変わります。

・工場勤務と本社勤務のどちらになりますか
・転勤の範囲はどこまでですか
・繁忙期はいつですか

ここを聞いてから決めても遅くないかと。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
03,専門商社,本文,"総合商社に人が集まるぶん、専門商社は狙い目です

◇鉄鋼・機械
岡谷鋼機、第一実業、山善

◇工具・副資材
トラスコ中山、ユアサ商事

◇電子・IT
兼松エレクトロニクス、リョーサン菱洋

◇化学・食品
↓",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
03,専門商社,リプ1,"◇化学
長瀬産業、稲畑産業

◇食品
三菱食品、加藤産業

◇医療
メディパルホールディングス、スズケン

専門商社は、扱う商材の知識がそのまま専門性になります。

総合商社のような転勤の広さがない会社も多いので、生活を変えたくない人にも向いているかと。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
03,専門商社,リプ2,"確認してほしいのはこの3つです。

・転勤の範囲はどこまでですか
・担当する商材は入社時に決まりますか
・既存顧客と新規開拓の比率はどれくらいですか

商材で仕事の中身がまったく変わる業界です。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
04,インフラ・エネルギー,本文,"景気に左右されにくい業界の代表がこの辺です

◇電力
中部電力、関西電力、九州電力

◇ガス
東京ガス、大阪ガス、東邦ガス

◇鉄道
JR東日本、東急、小田急電鉄

◇通信・その他
↓",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
04,インフラ・エネルギー,リプ1,"◇通信
NTT東日本、NTT西日本、KDDI

◇水道・環境
メタウォーター、栗田工業

◇エネルギー関連
ENEOS、岩谷産業

インフラは需要が消えにくい代わりに、現場対応や夜間対応がある職種もあります。

安定しているイメージだけで受けると、入ってから驚く人がいるかと。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
04,インフラ・エネルギー,リプ2,"面接で聞いてほしいのはこの3つです。

・夜間や休日の対応はありますか
・配属は現場ですか、本社ですか
・転勤の頻度はどれくらいですか

安定と働きやすさは、必ずしも同じではないです。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
05,IT・通信,本文,"未経験からITに入るなら、この辺が現実的です

◇SIer
NTTデータ、TIS、SCSK

◇グループ系
NTTコムウェア、日立ソリューションズ

◇SaaS
サイボウズ、freee、SmartHR

◇その他
↓",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
05,IT・通信,リプ1,"◇通信
KDDI、ソフトバンク

◇ITサービス
富士通、日本電気

◇独立系
オービック、大塚商会

SIerは配属される案件で働き方が変わります。同じ会社でも、案件次第で別会社くらい違うんですよね。

会社名だけで判断できない業界の代表かと。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
05,IT・通信,リプ2,"確認してほしいのはこの3つです。

・入社後の配属はどう決まりますか
・客先常駐の比率はどれくらいですか
・研修は何ヶ月ありますか

未経験なら、研修の中身がいちばん大事です。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
06,医療・ヘルスケア,本文,"需要が消えない業界を探しているならこの辺です

◇医療機器
テルモ、オリンパス、シスメックス

◇検査・診断
日本光電、ニプロ

◇製薬
中外製薬、エーザイ、小野薬品工業

◇その他
↓",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
06,医療・ヘルスケア,リプ1,"◇介護・医療サービス
エス・エム・エス、ニチイ学館

◇医療IT
メドレー、カケハシ

◇医薬品卸
メディパルホールディングス、アルフレッサ

医療は景気の影響を受けにくい代わりに、規制と手続きが多い業界です。

スピード感を求める人には向かないこともあるので、そこは好みかと。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
06,医療・ヘルスケア,リプ2,"聞いておきたいのはこの3つです。

・顧客は病院ですか、クリニックですか
・担当エリアはどれくらいの広さですか
・緊急対応はありますか

顧客が誰かで、生活リズムがかなり変わります。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
07,食品・化学,本文,"人気業界ですが、狙い方で倍率が変わります

◇食品（BtoC）
味の素、日清食品、明治

◇食品（BtoB寄り）
カゴメ、キユーピー、不二製油グループ本社

◇化学（大手）
住友化学、旭化成、三菱ケミカル

◇化学（専業）
↓",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
07,食品・化学,リプ1,"◇化学（専業）
信越化学工業、東ソー、日本触媒

◇素材
東レ、帝人、クラレ

◇日用品
花王、ライオン、ユニ・チャーム

BtoCの有名ブランドには応募が集中します。同じ会社でも業務用部門は倍率が落ち着いていることが多いです。

同じ会社に入るなら、入口を変えるのも手かと。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
07,食品・化学,リプ2,"確認してほしいのはこの3つです。

・配属される部門は選べますか
・工場勤務の可能性はありますか
・転勤の範囲はどこまでですか

食品も化学も、工場配属の有無で生活が変わります。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
08,物流・建設設備,本文,"人手が足りていて、20代が入りやすい業界です

◇総合物流
NIPPON EXPRESSホールディングス、センコーグループホールディングス

◇専門物流
山九、上組、鴻池運輸

◇空調設備
高砂熱学工業、新菱冷熱工業、朝日工業社

◇プラント
↓",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
08,物流・建設設備,リプ1,"◇プラント
日揮ホールディングス、千代田化工建設、東洋エンジニアリング

◇建設
鹿島建設、大成建設、清水建設

◇設備機器
ダイキン工業、荏原製作所

この業界は、現場職と管理職で条件がまったく違います。

同じ会社の求人でも、職種区分を読み違えると入社後に驚くかと。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
08,物流・建設設備,リプ2,"必ず確認してほしいのはこの3つです。

・現場常駐はありますか
・海外赴任の可能性はありますか
・繁忙期の残業はどれくらいですか

ここを飛ばすと、入社後のギャップが大きくなります。",2026-09-23,nori,リスト提示→リプ回収型（カテゴリ分割版）,draft,,,,,,,
