No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
01,Linux・シェル 10日間ロードマップ,本文,"IT企業でエンジニア採用してますが、微経験の方に「Linuxは使えますか」と聞くと、ほぼ全員が使えますと答えます。ただ権限とプロセスの話に入ると、そこで止まる方がかなり多い印象です。

そこで【Linux10日間ロードマップ】を作りました。

1日15〜30分でOK。
面接で差がつく順に並べてます。

1日目

↓",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
01,Linux・シェル 10日間ロードマップ,リプ1日目,"ファイル操作を正確にやる

コマンドは打てても、戻せない操作で事故る方がいます。

・cd / ls / cp / mv / rm の基本
・rm -rf の前に必ず ls で確認する癖
・相対パスと絶対パスの違い

「どこにいるか」を常に言えれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
01,Linux・シェル 10日間ロードマップ,リプ2日目,"ファイルの中身を見る

障害対応の入り口がここです。

・cat / less / head / tail
・tail -f でログを追いかける
・grep で必要な行だけ抜く

ログを開いて、目的の行に辿り着ければ今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
01,Linux・シェル 10日間ロードマップ,リプ3日目,"権限を理解する

最初の壁です。

・rwx と 所有者 / グループ / その他
・chmod と chown の違い
・なぜ 777 にしてはいけないか

「権限エラーの原因をどう切り分けるか」を言えるのが目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
01,Linux・シェル 10日間ロードマップ,リプ4日目,"プロセスを見る

動いているのかどうかを、自分で確認できるようになります。

・ps / top で状態を見る
・kill と kill -9 の違い
・バックグラウンド実行と nohup

「重い」を体感ではなく数字で言えれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
01,Linux・シェル 10日間ロードマップ,リプ5日目,"パイプとリダイレクトを使う

面接で最も差がつく領域です。

・| で次のコマンドに渡す
・> と >> の違い
・2>&1 で標準エラーもまとめる

コマンドを繋げて1行で結果を出せるか、を見ています。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
01,Linux・シェル 10日間ロードマップ,リプ6日目,"ディスクとメモリを見る

サーバが落ちる原因の上位です。

・df でディスク使用量
・du で何が容量を食っているか
・free でメモリの空き

今日の宿題は、手元の環境で df -h を打ってみること。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
01,Linux・シェル 10日間ロードマップ,リプ7日目,"シェルスクリプトを書く

手作業を減らせる証明になります。

・shebang と実行権限
・変数と if 文
・引数の受け取り（$1, $2）

繰り返している作業を1つ、スクリプトに落とすのが今日の目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
01,Linux・シェル 10日間ロードマップ,リプ8日目,"cronで自動実行する

運用の話ができるようになります。

・crontab -e の書き方
・時刻の5フィールドの読み方
・ログを残さないと気づけない

「失敗したときにどう気づくか」まで言えると実務感が出ます。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
01,Linux・シェル 10日間ロードマップ,リプ9日目,"SSHとサーバ間の移動

現場で必ず使います。

・鍵認証とパスワード認証の違い
・~/.ssh/config で接続をまとめる
・scp / rsync でファイルを送る

鍵を使い回さない理由を説明できれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
01,Linux・シェル 10日間ロードマップ,リプ10日目,"総復習

今日確認すること。

・パスと安全なファイル操作
・ログの追い方
・権限の切り分け
・プロセスの確認と停止
・パイプとリダイレクト
・ディスクとメモリの見方
・シェルスクリプト
・cronと失敗検知
・SSHの鍵認証

ここまで説明できれば、微経験としては十分な水準かと。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
02,Git 10日間ロードマップ,本文,"IT企業でエンジニア採用してますが、微経験の方に「Gitは使えますか」と聞くと、ほぼ全員が使えますと答えます。ただコンフリクトと履歴の話に入ると、そこで止まる方がかなり多い印象です。

そこで【Git10日間ロードマップ】を作りました。

1日15〜30分でOK。
面接で差がつく順に並べてます。

1日目

↓",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
02,Git 10日間ロードマップ,リプ1日目,"状態を読む

コマンドを覚える前に、いまどこにいるかです。

・git status を毎回打つ
・作業ツリー / ステージ / コミットの3層
・git diff と git diff --staged の違い

3層のどこに変更があるかを言えれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
02,Git 10日間ロードマップ,リプ2日目,"コミットを分ける

レビューの通りやすさがここで決まります。

・1コミット1目的
・git add -p で部分的にステージ
・コミットメッセージは何をなぜ直したか

「なぜこの単位で切ったか」を説明できるのが目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
02,Git 10日間ロードマップ,リプ3日目,"ブランチを切る

チーム開発の前提です。

・git switch -c で作成
・作業単位でブランチを分ける
・main を直接触らない理由

ブランチ名から作業内容が分かる状態にできれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
02,Git 10日間ロードマップ,リプ4日目,"マージとリベースを使い分ける

最初の壁です。

・merge は合流、rebase は並べ直し
・共有済みのブランチをrebaseしない
・fast-forward とマージコミット

「なぜこっちを選んだか」を言えるのが目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
02,Git 10日間ロードマップ,リプ5日目,"コンフリクトを解消する

面接で最も差がつく領域です。

・衝突マーカーの読み方
・どちらを採るかは意味で判断する
・解消後に必ず動作確認する

手順ではなく、判断の仕方を説明できるかを見ています。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
02,Git 10日間ロードマップ,リプ6日目,"履歴を調べる

障害の原因究明で効きます。

・git log --oneline --graph
・git blame で誰がいつ入れたか
・git show でその変更の中身

今日の宿題は、気になるファイルを1つ blame にかけてみること。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
02,Git 10日間ロードマップ,リプ7日目,"やり直す

壊さずに戻せるかどうかです。

・revert は打ち消しコミットを積む
・reset --soft / --mixed / --hard の違い
・stash で一時退避する

共有済みの履歴を書き換えない理由を言えれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
02,Git 10日間ロードマップ,リプ8日目,"リモートと同期する

チームで詰まる場所です。

・fetch と pull の違い
・pull --rebase で履歴を綺麗に保つ
・force push が危ない理由

なぜ --force-with-lease を使うかまで話せると強いです。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
02,Git 10日間ロードマップ,リプ9日目,"プルリクエストを出す

レビューされる側の作法です。

・差分を小さく保つ
・説明に背景と確認方法を書く
・レビュー指摘は理由とセットで返す

レビュアーの時間を減らす工夫を1つ言えれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
02,Git 10日間ロードマップ,リプ10日目,"総復習

今日確認すること。

・3層の状態の読み方
・コミットの切り方
・ブランチ運用
・マージとリベースの使い分け
・コンフリクトの判断基準
・log / blame での追跡
・revertとresetの違い
・fetchとpullとforce push
・プルリクエストの出し方

ここまで説明できれば、チーム開発の経験として通用するかと。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
03,Docker 10日間ロードマップ,本文,"IT企業でエンジニア採用してますが、微経験の方に「Dockerは触ってますか」と聞くと、多くの方が触ってますと答えます。ただイメージとコンテナの違いの話に入ると、そこで止まる方がかなり多い印象です。

そこで【Docker10日間ロードマップ】を作りました。

1日15〜30分でOK。
面接で差がつく順に並べてます。

1日目

↓",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
03,Docker 10日間ロードマップ,リプ1日目,"イメージとコンテナを分けて理解する

ここが曖昧なまま使っている方がかなりいます。

・イメージは設計図、コンテナは動いている実体
・同じイメージから何個でも起動できる
・コンテナを消してもイメージは残る

この違いを一言で言えれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
03,Docker 10日間ロードマップ,リプ2日目,"起動して入る

まずは動かして中を見ます。

・docker run と docker ps
・-it でシェルに入る
・docker logs で標準出力を見る

コンテナの中に入って原因を見にいければ今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
03,Docker 10日間ロードマップ,リプ3日目,"Dockerfileを書く

再現性の話になります。

・FROM / COPY / RUN / CMD
・RUNをまとめるとレイヤーが減る
・.dockerignore で不要ファイルを除く

自分の環境を1枚のファイルで説明できるのが目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
03,Docker 10日間ロードマップ,リプ4日目,"ポートとボリュームをつなぐ

外の世界との接点です。

・-p でホストとコンテナのポートを対応させる
・-v でデータを外に残す
・コンテナを消すと中のデータは消える

「なぜボリュームが要るか」を説明できれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
03,Docker 10日間ロードマップ,リプ5日目,"環境変数と設定の外出し

面接で最も差がつく領域です。

・設定をイメージに焼き込まない
・-e や env_file で渡す
・秘匿情報をリポジトリに入れない

環境ごとの差分をどう吸収するか、を見ています。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
03,Docker 10日間ロードマップ,リプ6日目,"docker composeで複数立てる

実務の形に近づきます。

・アプリとDBをまとめて起動
・depends_on は起動順であって準備完了ではない
・compose up と down の使い分け

今日の宿題は、アプリとDBの2つを1ファイルで立ち上げてみること。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
03,Docker 10日間ロードマップ,リプ7日目,"イメージを軽くする

ビルド時間とコストに直結します。

・軽量なベースイメージを選ぶ
・マルチステージビルドで成果物だけ残す
・キャッシュが効く順にDockerfileを書く

「なぜこの順番で書いたか」を言えると実務感が出ます。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
03,Docker 10日間ロードマップ,リプ8日目,"トラブルを切り分ける

動かないときの手順です。

・ビルドで落ちたのか、起動で落ちたのか
・docker logs と exec で中を見る
・ポートの競合とネットワークの確認

原因の場所を先に絞れれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
03,Docker 10日間ロードマップ,リプ9日目,"本番との違いを知る

ここまで話せる方は少ないです。

・開発用の設定を本番に持ち込まない
・ヘルスチェックと再起動ポリシー
・rootで動かさない

「開発と本番で何を変えるか」を1つ言えれば十分です。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
03,Docker 10日間ロードマップ,リプ10日目,"総復習

今日確認すること。

・イメージとコンテナの違い
・起動と中の確認
・Dockerfileの基本
・ポートとボリューム
・設定の外出し
・composeで複数構成
・イメージの軽量化
・トラブルの切り分け
・開発と本番の差

ここまで説明できれば、環境構築の話で止まらなくなるかと。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
04,AWS 10日間ロードマップ,本文,"IT企業でエンジニア採用してますが、微経験の方に「AWSは触ってますか」と聞くと、多くの方が触ってますと答えます。ただネットワークと権限の話に入ると、そこで止まる方がかなり多い印象です。

そこで【AWS10日間ロードマップ】を作りました。

1日15〜30分でOK。
面接で差がつく順に並べてます。

1日目

↓",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
04,AWS 10日間ロードマップ,リプ1日目,"全体像とリージョンを掴む

どこに置いているか、から始まります。

・リージョンとアベイラビリティゾーン
・マネージドサービスと自前運用の違い
・料金は使った分だけ発生する

「なぜこのリージョンを選ぶか」を言えれば今日はOK。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
04,AWS 10日間ロードマップ,リプ2日目,"IAMを理解する

最初の壁で、そして一番事故る場所です。

・ユーザー / ロール / ポリシーの関係
・最小権限で渡す
・ルートユーザーを日常で使わない

権限エラーが出たときの調べ方を言えるのが目標。",2026-09-25,tamura,n日間ロードマップ型,draft,,,,,,,
