No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
01,BtoB部品メーカー,本文,"マイナビで転職支援してましたが、知名度の割に待遇がいいBtoB部品メーカーはこの辺です↓

5位　NOK
・平均年収：【　】万円
・残業時間：月【　】時間
シール部品で国内大手。自動車の裏側を支えている会社。

4位　椿本チエイン
・平均年収：【　】万円
・残業時間：月【　】時間
動力伝達用チェーンで世界的に知られる老舗。

上位3社は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
01,BtoB部品メーカー,リプ1,"3位　THK
・平均年収：【　】万円
・残業時間：月【　】時間
機械がまっすぐ動く部分を担う会社。自動化が進むほど需要が増える。

2位　SMC
・平均年収：【　】万円
・残業時間：月【　】時間
空気圧制御機器で世界シェア上位。工場がある限り仕事が続く。

1位は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
01,BtoB部品メーカー,リプ2,"1位　ディスコ
・平均年収：【　】万円
・残業時間：月【　】時間
半導体の切る・削る・磨くに特化。一点を極めた会社の強さが数字に出ています。

部品メーカーは、社名で選ぶと見落とします。20代のみなさん、何を押さえている会社かで見てみてください。",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
02,専門商社,本文,"総合商社に人が集まるぶん、専門商社は倍率が落ち着いてます↓

5位　第一実業
・平均年収：【　】万円
・残業時間：月【　】時間
機械専門商社。メーカーと現場をつなぐ立ち位置。

4位　ユアサ商事
・平均年収：【　】万円
・残業時間：月【　】時間
産業機器から住環境まで幅広く扱う老舗。

上位3社は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
02,専門商社,リプ1,"3位　兼松エレクトロニクス
・平均年収：【　】万円
・残業時間：月【　】時間
ITインフラに強い商社。SIer志望の受け皿にもなる。

2位　トラスコ中山
・平均年収：【　】万円
・残業時間：月【　】時間
工場用副資材の卸。在庫を持つ戦略で伸びてきた会社。

1位は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
02,専門商社,リプ2,"1位　岡谷鋼機
・平均年収：【　】万円
・残業時間：月【　】時間
創業は江戸時代。特定の系列に属さない独立系の老舗商社です。

商社は総合か専門かで、働き方も転勤の有無も変わります。ここは求人票で必ず確認してみてください。",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
03,医療機器メーカー,本文,"景気に左右されにくい業界を探してる人へ↓

5位　日本光電
・平均年収：【　】万円
・残業時間：月【　】時間
生体情報モニタで国内大手。病院に入り込んでいる。

4位　ニプロ
・平均年収：【　】万円
・残業時間：月【　】時間
医療用の消耗品から機器まで幅広い。

上位3社は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
03,医療機器メーカー,リプ1,"3位　シスメックス
・平均年収：【　】万円
・残業時間：月【　】時間
検体検査機器で世界的に強い。海外比率が高い。

2位　オリンパス
・平均年収：【　】万円
・残業時間：月【　】時間
内視鏡で世界シェア上位。医療機器へ事業を集中。

1位は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
03,医療機器メーカー,リプ2,"1位　テルモ
・平均年収：【　】万円
・残業時間：月【　】時間
カテーテルなど治療機器で世界展開。医療機器メーカーの代表格です。

医療は需要が消えない領域です。営業職でも専門知識が資産になるかと。",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
04,化学メーカー,本文,"理系じゃなくても入れる化学メーカー、待遇はこの辺です↓

5位　東ソー
・平均年収：【　】万円
・残業時間：月【　】時間
基礎化学品からライフサイエンスまで。

4位　三菱ケミカル
・平均年収：【　】万円
・残業時間：月【　】時間
国内最大級の総合化学。事業の幅が広い。

上位3社は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
04,化学メーカー,リプ1,"3位　旭化成
・平均年収：【　】万円
・残業時間：月【　】時間
繊維から住宅、医療まで手がける多角化企業。

2位　住友化学
・平均年収：【　】万円
・残業時間：月【　】時間
農薬から電子材料まで。海外展開も積極的。

1位は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
04,化学メーカー,リプ2,"1位　信越化学工業
・平均年収：【　】万円
・残業時間：月【　】時間
半導体シリコンと塩ビで世界トップクラス。利益率の高さで知られています。

化学は文系の営業・管理部門の採用もあります。理系だけの業界ではないかと。",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
05,食品メーカー,本文,"人気業界ですが、狙い方で倍率が変わります↓

5位　キユーピー
・平均年収：【　】万円
・残業時間：月【　】時間
マヨネーズだけでなく業務用も大きい。

4位　カゴメ
・平均年収：【　】万円
・残業時間：月【　】時間
トマトを軸にした商品展開。BtoBの比率も高い。

上位3社は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
05,食品メーカー,リプ1,"3位　明治
・平均年収：【　】万円
・残業時間：月【　】時間
食品と医薬の二本柱。

2位　日清食品
・平均年収：【　】万円
・残業時間：月【　】時間
即席麺で世界展開。ブランド力が強い。

1位は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
05,食品メーカー,リプ2,"1位　味の素
・平均年収：【　】万円
・残業時間：月【　】時間
調味料から電子材料まで広がる技術系企業でもあります。

食品はBtoC部門に応募が集中します。業務用やBtoB部門は、倍率が落ち着いていることが多いかと。",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
06,物流・倉庫,本文,"EC拡大でいちばん求人が動いている業界です↓

5位　センコーグループホールディングス
・平均年収：【　】万円
・残業時間：月【　】時間
化学品や住宅資材など、専門物流に強い。

4位　鴻池運輸
・平均年収：【　】万円
・残業時間：月【　】時間
工場内の請負まで踏み込むスタイル。

上位3社は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
06,物流・倉庫,リプ1,"3位　上組
・平均年収：【　】万円
・残業時間：月【　】時間
港湾荷役で国内大手。神戸発の老舗。

2位　山九
・平均年収：【　】万円
・残業時間：月【　】時間
プラント工事と物流の両輪。

1位は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
06,物流・倉庫,リプ2,"1位　NIPPON EXPRESSホールディングス
・平均年収：【　】万円
・残業時間：月【　】時間
国内最大級の総合物流。海外ネットワークも広い。

物流は現場職と管理職で条件がまったく違います。求人票の職種区分は必ず見てください。",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
07,産業機械・ロボット,本文,"自動化の流れに乗っている業界です↓

5位　ローツェ
・平均年収：【　】万円
・残業時間：月【　】時間
半導体ウエハの搬送ロボット。地方発で海外比率が高い。

4位　安川電機
・平均年収：【　】万円
・残業時間：月【　】時間
産業用ロボットとモーター制御で世界的。

上位3社は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
07,産業機械・ロボット,リプ1,"3位　ダイフク
・平均年収：【　】万円
・残業時間：月【　】時間
倉庫と工場の自動化をまるごと請け負う。

2位　ファナック
・平均年収：【　】万円
・残業時間：月【　】時間
工作機械のNCとロボットで世界シェア上位。

1位は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
07,産業機械・ロボット,リプ2,"1位　キーエンス
・平均年収：【　】万円
・残業時間：月【　】時間
センサーや測定機器のファブレスメーカー。待遇の高さで知られています。

ただし、働き方の評判は会社ごとに差があります。年収だけで決めないほうがいいかと。",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
08,通信・SIer,本文,"未経験からITに入るなら、この辺が現実的です↓

5位　TIS
・平均年収：【　】万円
・残業時間：月【　】時間
独立系SIerの大手。金融系に強い。

4位　SCSK
・平均年収：【　】万円
・残業時間：月【　】時間
働き方改革を早くから打ち出してきた会社。

上位3社は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
08,通信・SIer,リプ1,"3位　NTTコムウェア
・平均年収：【　】万円
・残業時間：月【　】時間
NTTグループの通信システムを担う。

2位　NTTデータ
・平均年収：【　】万円
・残業時間：月【　】時間
国内最大級のSIer。公共から金融まで。

1位は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
08,通信・SIer,リプ2,"1位　KDDI
・平均年収：【　】万円
・残業時間：月【　】時間
通信キャリア。非通信領域にも事業を広げています。

SIerは配属先で働き方がかなり変わります。面接で配属の決まり方を聞いておくといいかと。",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
09,建設設備・プラント,本文,"知られてないけど待遇がいい業界の代表です↓

5位　朝日工業社
・平均年収：【　】万円
・残業時間：月【　】時間
空調設備工事の専業。

4位　新菱冷熱工業
・平均年収：【　】万円
・残業時間：月【　】時間
空調設備で技術力に定評。

上位3社は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
09,建設設備・プラント,リプ1,"3位　高砂熱学工業
・平均年収：【　】万円
・残業時間：月【　】時間
空調設備工事の最大手クラス。半導体工場案件も。

2位　千代田化工建設
・平均年収：【　】万円
・残業時間：月【　】時間
プラントエンジニアリング。エネルギー分野に強い。

1位は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
09,建設設備・プラント,リプ2,"1位　日揮ホールディングス
・平均年収：【　】万円
・残業時間：月【　】時間
プラント建設で世界的な実績を持つ会社です。

現場勤務や海外赴任の有無で生活が変わる業界です。ここは求人票で確認必須かと。",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
10,計測・分析機器,本文,"研究が続く限り需要が消えない業界です↓

5位　堀場製作所
・平均年収：【　】万円
・残業時間：月【　】時間
自動車計測や環境分析に強い京都の会社。

4位　東京精密
・平均年収：【　】万円
・残業時間：月【　】時間
半導体製造装置と精密測定機器の二本柱。

上位3社は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
10,計測・分析機器,リプ1,"3位　アドバンテスト
・平均年収：【　】万円
・残業時間：月【　】時間
半導体テスタで世界シェア上位。

2位　島津製作所
・平均年収：【　】万円
・残業時間：月【　】時間
分析計測から医用機器まで。創業100年以上。

1位は…↓",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
10,計測・分析機器,リプ2,"1位　レーザーテック
・平均年収：【　】万円
・残業時間：月【　】時間
半導体マスク検査装置で世界的に知られる会社です。

この業界は技術職だけでなく、営業やサポート職の募集もあります。文系でも入口はあるかと。",2026-09-23,nori,カウントダウンランキング型（企業版）,draft,,,,,,,
