No,テーマ,種別,テキスト,date,account,structure,status,post_url,impressions,likes,bookmarks,reposts,profile_visits,note
01,未経験採用がいちばん多いSaaS,本文,"【未経験からの入口がいちばん広い】
SaaS企業はここ↓↓

・中途採用比率98%
・異業界からの入社が65%
・従業員数は1,532名（2020年は538名）
・平均年収667万円
・主力は楽楽精算・楽楽明細
・東証プライム上場

経験がないから無理、と決める前に見てほしい会社です。名前は…",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
01,未経験採用がいちばん多いSaaS,リプ1,"名前は...

『株式会社ラクス』

経費精算の楽楽精算、請求書発行の楽楽明細などを展開しているSaaS企業です。
経理・総務が毎月手作業でやっていた集計と発送を、クラウド上で完結させるプロダクトで、国内のクラウドサービスの中でもトップクラスのシェアを持っています。

社員の98%が中途入社、しかも65%が異業界から来ています。採用数が多い会社は、選考のハードルが構造的に下がります。狙わない理由がないかと。

フォローすると、現役のSaaS企業面接官が
・SaaS企業の面接対策
・SaaS企業のリアル
・未経験からの転職成功法
を発信しています",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
02,地方在住でも働けるSaaS,本文,"【引っ越さずにSaaSへ】
地方在住でも受けられる会社はここ↓↓

・本社が東京ではなく福岡
・国内拠点は福岡・東京・京都
・海外拠点はニューヨークとアムステルダム
・フルリモート可の職種あり
・従業員192名
・東証グロース上場

「東京じゃないから無理」で諦めてる人に見てほしいです。名前は…",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
02,地方在住でも働けるSaaS,リプ1,"名前は...

『株式会社ヌーラボ』

プロジェクト管理のBacklog、作図ツールのCacooなどを展開しています。
2004年に福岡で創業して、そのまま福岡に本社を置いたまま2022年に上場した会社です。

リモートは運用ではなく制度として公開している会社を選ぶこと。ここが曖昧な会社は、方針が変わった瞬間にハシゴを外されます。応募前に、求人票のリモート記載が「相談可」なのか「制度」なのかを必ず見てください。

フォローすると、面接官の視点でSaaS転職のリアルを発信しています",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
03,20代の年収が伸びるSaaS,本文,"【20代のうちに年収を上げたいなら】
狙うべきSaaSはここ↓↓

・平均年収780万円
・平均年齢31.7歳
・平均勤続年数3.1年
・従業員は連結2,243名
・直近期の売上432億円、前年比27.5%増
・東証プライム上場

若さがハンデにならない会社です。名前は…",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
03,20代の年収が伸びるSaaS,リプ1,"名前は...

『Sansan株式会社』

法人向け名刺管理のSansanと、個人向けのEightを展開しています。
社内に散らばっていた人脈と取引先の情報を会社の資産に変えるサービスで、いまは請求書やインボイスの領域にも広がっています。

平均年齢31.7歳で平均年収780万円。年収は交渉力より、その会社の給与テーブルと年齢構成で決まります。20代なら、若い年齢層の水準が高い会社を選ぶほうが早いかと。

フォローすると、SaaS転職の進め方を面接官の立場から発信しています",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
04,育休・時短が実際に使えるSaaS,本文,"【制度があるだけの会社とは違う】
育休が本当に使えるSaaSはここ↓↓

・育休は最長6年まで取得可能
・育休からの復職率は95%超
・働き方を自分で申告する制度あり
・離職率は28%から4%まで低下
・平均年収719万円、平均年齢36.4歳
・東証プライム上場

制度の有無ではなく、取得率で見てください。名前は…",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
04,育休・時短が実際に使えるSaaS,リプ1,"名前は...

『サイボウズ株式会社』

グループウェアのkintoneとサイボウズOfficeを展開しています。
社内の申請・日報・案件管理といった、どの会社にもある業務を現場の人が自分で組み立てられるようにしたサービスです。

かつて離職率28%だった会社が、働き方の制度を作り直して4%まで下げています。面接で「取得率は何%ですか」と聞いて、答えられる会社は信用できます。数字が出てこない会社は、制度があるだけかと。

フォローすると、働き方の見極め方を採用側から発信しています",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
05,在職中でも受けやすいSaaS,本文,"【在職中でも受けやすい】
選考フローが読めるSaaSはここ↓↓

・選考プロセスを公式サイトで公開
・面接は3回程度
・オンラインで実施
・カジュアル面談は随時、選考に必須ではない
・従業員1,722名
・東証グロース上場

働きながら転職したい人向けです。名前は…",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
05,在職中でも受けやすいSaaS,リプ1,"名前は...

『freee株式会社』

会計freee、人事労務freeeなどを展開しています。
個人事業主と従業員1,000名以下の会社に向けて、経理と労務をまとめてクラウド化するサービスです。

在職中の転職で失速する理由の大半は、日程が取れないことです。選考フローを公開している会社を1社入れておくと、活動全体のリズムが崩れません。何回面接があるか分からないまま走るのが、いちばん消耗します。

フォローすると、在職中の転職の進め方を発信しています",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
06,研修・オンボーディングが手厚いSaaS,本文,"【未経験でも置いていかれない】
受け入れの設計があるSaaSはここ↓↓

・オンボーディング専用のツールを導入
・育成の仕組みを社内制度として運用
・学歴による応募制限なし
・新卒も中途も職種を問わず通年採用
・平均年齢34.2歳、平均年収723万円
・東証プライム上場

独学で追いつく自信がない人こそ、ここを見てください。名前は…",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
06,研修・オンボーディングが手厚いSaaS,リプ1,"名前は...

『株式会社マネーフォワード』

家計簿アプリのマネーフォワードMEと、バックオフィス向けのマネーフォワード クラウドを展開しています。
個人向けと法人向けを合わせて60以上のサービスがあり、MEの利用者は1,700万を超えています。

未経験で入ると、最初の3ヶ月がいちばんしんどいです。そこを専用ツールまで入れて設計している会社かどうかで、続くかどうかが変わるかと。

フォローすると、未経験からのSaaS転職を面接官の視点で発信しています",2026-09-24,haru,正体伏せ→リプ公開型,draft,,,,,,,
